,Name,Opportunity Number,Eligibility,Agency Name,Description
195,Small Research Grants for Establishing Basic Science-Clinical Collaborations to Understand Structural Birth Defects (R03 Clinical Trial Not Allowed),PAR-20-065,"Public and State controlled institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal governments (Federally recognized)Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationFor profit organizations other than small businessesSpecial district governmentsPublic housing authorities/Indian housing authoritiesPrivate institutions of higher educationIndependent school districtsNative American tribal organizations (other than Federally recognized tribal governments)County governmentsSmall businessesCity or township governmentsState governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)",National Institutes of Health,"The purpose of this funding opportunity announcement (FOA) is to promote initial establishment of basic science-clinical collaborations by providing small grants to teams of basic scientists, physician scientists, and/or clinicians.  These interdisciplinary teams may include but are not limited to the following: developmental biologists, cell biologists, geneticists, genomicists, physician scientists including individuals with DVM/VMD degrees, clinicians, epidemiologists, biostatisticians, and/or bioinformaticists."
196,Co-infection and Cancer (R21 Clinical Trial Not Allowed),PAR-20-061,"Private institutions of higher educationState governmentsNative American tribal governments (Federally recognized)County governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationFor profit organizations other than small businessesSpecial district governmentsPublic and State controlled institutions of higher educationCity or township governmentsIndependent school districtsPublic housing authorities/Indian housing authoritiesNative American tribal organizations (other than Federally recognized tribal governments)Others (see text field entitled ""Additional Information on Eligibility"" for clarification)",National Institutes of Health,"This initiative seeks to enhance our mechanistic and epidemiologic understanding of infection-related cancers, with a focus on the etiologic roles of co-infection in cancer. Preference will be given to investigations of co-infections with known oncogenic agents (e.g., Helicobacter pylori [H. pylori] and Epstein Barr virus [EBV]; excluding human immunodeficiency virus [HIV]) and of co-infections that engendered novel opportunities for prevention and treatment. Coinfection is defined as the occurrence of infections by two or more infectious (pathogenic or nonpathogenic) agents  either concurrently or sequentially  and includes both acute and chronic infections by viruses, bacteria, parasites, and/or other microorganisms."
197,Co-infection and Cancer (R01 Clinical Trial Not Allowed),PAR-20-062,"Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPublic and State controlled institutions of higher educationState governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal governments (Federally recognized)City or township governmentsIndependent school districtsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Native American tribal organizations (other than Federally recognized tribal governments)For profit organizations other than small businessesSpecial district governmentsSmall businessesCounty governmentsPublic housing authorities/Indian housing authoritiesPrivate institutions of higher education",National Institutes of Health,"This initiative seeks to enhance our mechanistic and epidemiologic understanding of infection-related cancers, with a focus on the etiologic roles of co-infection in cancer. Preference will be given to investigations of co-infections with known oncogenic agents (e.g., Helicobacter pylori [H. pylori] and Epstein Barr virus [EBV]; excluding human immunodeficiency virus [HIV]) and of co-infections that engendered novel opportunities for prevention and treatment. Coinfection is defined as the occurrence of infections by two or more infectious (pathogenic or nonpathogenic) agents  either concurrently or sequentially  and includes both acute and chronic infections by viruses, bacteria, parasites, and/or other microorganisms."
198,BRAIN Initiative Advanced Postdoctoral Career Transition Award to Promote Diversity (K99/R00 Independent Clinical Trial Required),RFA-NS-19-044,"Native American tribal organizations (other than Federally recognized tribal governments)Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationCity or township governmentsIndependent school districtsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesSpecial district governmentsNative American tribal governments (Federally recognized)Public housing authorities/Indian housing authoritiesOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)County governmentsFor profit organizations other than small businessesPublic and State controlled institutions of higher educationPrivate institutions of higher educationState governments",National Institutes of Health,"The purpose of the NIH BRAIN Initiative Advanced Postdoctoral Career Transition Award to Promote Diversity (K99/R00) program is to enhance workforce diversity in the neuroscience workforce and maintain a strong cohort of new and talented, NIH-supported, independent investigators from diverse backgrounds in BRAIN Initiative research areas. This program is designed to facilitate a timely transition of outstanding postdoctoral researchers with a research and/or clinical doctorate degree from mentored, postdoctoral research positions to independent, tenure-track or equivalent faculty positions. The program will provide independent NIH research support during this transition in order to help awardees to launch competitive, independent research careers. This Funding Opportunity Announcement (FOA) is designed specifically for applicants proposing to serve as the lead investigator of an independent clinical trial, a clinical trial feasibility study, or a separate ancillary study to an existing trial, as part of their research and career development. Applicants not planning an independent clinical trial, or proposing to gain research experience in a clinical trial led by another investigator, must apply to companion FOA."
199,BRAIN Initiative Advanced Postdoctoral Career Transition Award to Promote Diversity (K99/R00  Independent Clinical Trial Not Allowed),RFA-NS-19-043,"County governmentsCity or township governmentsPublic and State controlled institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationPrivate institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPublic housing authorities/Indian housing authoritiesNative American tribal governments (Federally recognized)State governmentsIndependent school districtsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Small businessesSpecial district governmentsFor profit organizations other than small businesses",National Institutes of Health,"This Funding Opportunity Announcement (FOA) is designed specifically for applicants proposing research that does not involve leading an independent clinical trial, a clinical trial feasibility study, or an ancillary study to a clinical trial. Applicants to this FOA are permitted to propose research experience in a clinical trial led by a mentor or co-mentor. Applicants proposing a clinical trial or an ancillary study to an ongoing clinical trial as lead investigator, should apply to the companion FOA."
200,Program to Assess the Rigor and Reproducibility of Extracellular Vesicle-Derived Analytes for Cancer Detection (R01 Clinical Trial Not Allowed),PAR-20-053,"Native American tribal organizations (other than Federally recognized tribal governments)State governmentsPublic and State controlled institutions of higher educationPublic housing authorities/Indian housing authoritiesCounty governmentsNative American tribal governments (Federally recognized)For profit organizations other than small businessesPrivate institutions of higher educationSpecial district governmentsSmall businessesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)City or township governmentsIndependent school districtsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education",National Institutes of Health,"This Funding Opportunity Announcement (FOA) encourages research projects that focus on innovative research in the isolation and characterization of extracellular vesicles (EVs) and their cargo for discovery of predictive biomarkers for risk assessment, detection, diagnosis and prognosis of early cancer. This FOA will promote rigor and reproducibility research in both the isolation of EVs as well as the computational analysis of the cargo carried in these vesicles."
201,"NCI Small Grants Program for Cancer Research for Years 2020, 2021, and 2022 (NCI Omnibus R03 Clinical Trial Optional)",PAR-20-052,"Private institutions of higher educationCounty governmentsPublic and State controlled institutions of higher educationCity or township governmentsNative American tribal organizations (other than Federally recognized tribal governments)Native American tribal governments (Federally recognized)State governmentsSmall businessesOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)For profit organizations other than small businessesNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPublic housing authorities/Indian housing authoritiesIndependent school districtsSpecial district governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education",National Institutes of Health,"This funding opportunity announcement (FOA) supports small research projects on cancer that can be carried out in a short period of time with limited resources. The R03 grant mechanism supports different types of projects including pilot and feasibility studies; secondary analysis of existing data; small, self-contained research projects; development of research methodology; and development of new research technology."
202,Research to Action: Assessing and Addressing Community Exposures to Environmental Contaminants (R01 Clinical Trial Optional),RFA-ES-20-002,"Public and State controlled institutions of higher educationCounty governmentsState governmentsSmall businessesNative American tribal governments (Federally recognized)For profit organizations other than small businessesSpecial district governmentsCity or township governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPrivate institutions of higher educationPublic housing authorities/Indian housing authoritiesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationIndependent school districtsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Native American tribal organizations (other than Federally recognized tribal governments)",National Institutes of Health,This Funding Opportunity Announcement encourages applications using community-engaged research methods to investigate the potential health risks of environmental exposures of concern to the community and to implement an environmental public health action plan based on research findings. The overall goal is to inform changes and to support efforts to prevent or reduce exposure to harmful environmental exposures and improve the health of a community.
203,Cyberinfrastructure Centers of Excellence,PD-20-139Y,"Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""",National Science Foundation,"The Nation’s advanced research cyberinfrastructure (CI) ecosystem catalyzes discovery and innovation across all areas of science and engineering (S&E) research and education. The increasingly complex and rapidly evolving S&E landscape requires an agile, integrated, robust, trustworthy, and sustainable CI ecosystem that will drive new thinking and transformative discoveries in all areas of research and education.


The success of this vision depends on the ability of the research community to be able to easily and effectively access and use state-of-the-art research CI resources and services in a timely way. This, in turn, drives a set of requirements on the development, operation, and evolution of the CI ecosystem. First, research CI resources and services must be designed to leverage and drive innovations, and they must be user-centric and interoperable to enable the efficient, flexible end-to-end discovery pathways that are increasingly essential for the conduct of research. Second, the information, expertise, and services needed to maximally utilize the CI ecosystem must be disseminated broadly and concertedly to the research community.


The NSF Cyberinfrastructure Centers of Excellence (CI CoE) Program aims to realize the above vision by supporting hubs of expertise and innovation targeting specific areas, aspects, or stakeholder communities of the research CI ecosystem. Supported CI CoEs provide expertise and services related to CI technologies and solutions; gather, develop, and communicate community best practices; and serve as readily-available resources for both the research community and the CI community. A key objective of this program is to support CI CoEs that drive advancements in and positively impact the CI ecosystem through structured but strongly community-engaging and community-serving approaches.Overall, CI CoEs are a means of concentrating resources on a specific area of identified need in support of the broader goal of advancing capabilities and performance of the national CI ecosystem [1].


Activities. Successful CI CoE projects will perform a range of functions such as:


Exploring emerging technologies, disruptions, opportunities, and community needs, and developing proactive design and adoption strategies, practices, and other approaches in response;
Nurturing communities of stakeholders and experts in their area(s) of focus (foci) with the overall goal of achieving self-sustaining communities of practice; and
Providing services, training, and outreach to target communities.


Topics and Pathways. NSF anticipates creating such CI CoEs in response to specific needs and gaps. NSF anticipates issuing Dear Colleague Letters to indicate interest in pilot CI CoE proposals on particular focus areas. NSF may initially invest in two-year pilot CI CoE projects which aim to develop concepts and plans and demonstrate feasibility through pilot activities as preparatory precursors to eventual proposals for establishing full-scale CI CoEs. The level of support for pilot CI CoE projects is expected to vary, based on the topic and range of activities proposed.


Lifecycle and expected endpoint. CI CoEs are typically expected to operate for five years and may be renewed, subject to the outcome of performance reviews, NSF prioritization, continuing demonstrated need for the CI CoE, and availability of funds, consistent with NSF merit review principles.


Guidance to proposers. Individuals interested in submitting a proposal for a CI CoE project are strongly encouraged to discuss their project idea with the cognizant CI CoE Program Director(s) in the relevant areas prior to submission. Additional guidance may be provided in Dear Colleague Letters issued to announce interest in pilot CI CoE proposals on particular focus areas.

[1] An example is the NSF Cybersecurity Center of Excellence, Trusted CI, https://trustedci.org."
204,Cancer Center Support Grants (CCSGs) for NCI-designated Cancer Centers (P30 Clinical Trial Optional),PAR-20-043,"Public and State controlled institutions of higher educationNative American tribal governments (Federally recognized)Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Small businessesIndependent school districtsNative American tribal organizations (other than Federally recognized tribal governments)County governmentsSpecial district governmentsPublic housing authorities/Indian housing authoritiesCity or township governmentsFor profit organizations other than small businessesPrivate institutions of higher educationState governments",National Institutes of Health,"This Funding Opportunity Announcement (FOA) invites applications for P30 Cancer Center Support Grants (CCSGs) to support NCI-designated Cancer Centers. CCSGs support two types of cancer centers: 1) Comprehensive Cancer Centers, which demonstrate reasonable depth and breadth of research activities in each of three major areas: basic laboratory; clinical; and prevention, control and population-based research, and which have substantial transdisciplinary research that bridges these scientific areas; and 2) Cancer Centers, which are primarily focused on basic laboratory; clinical; and prevention, cancer control, and population-based research; or some combination of these areas. The purpose of both types of NCI-designated Cancer Centers is to capitalize on all institutional cancer research capabilities, integrating meritorious programs in laboratory, clinical, and population research into a single transdisciplinary research enterprise across all institutional boundaries. Cancer Centers supported through this FOA are expected to serve as major sources of discovery of the nature of cancer and of development of more effective approaches to prevention, diagnosis, and therapy; to contribute significantly to the development of shared resources that support research; to collaborate and coordinate their research efforts with other NCI-funded programs and investigators; and to disseminate research findings for the benefit of the community."
205,Air Superiority Technology Broad Agency Announcement,FA8651-20-S-0008,"Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesPublic and State controlled institutions of higher educationPrivate institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education",Munitions Directorate,Broad Agency Announcement for Air Superiority Technology
206,Integrative Research on Polysubstance Abuse and Disorder (R61/R33 Clinical Trial Optional),PAR-20-035,"Public and State controlled institutions of higher educationSpecial district governmentsNative American tribal organizations (other than Federally recognized tribal governments)Private institutions of higher educationCounty governmentsSmall businessesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationIndependent school districtsState governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)City or township governmentsFor profit organizations other than small businessesPublic housing authorities/Indian housing authoritiesNative American tribal governments (Federally recognized)",National Institutes of Health,"This Funding Opportunity Announcement (FOA) is supported by Collaborative Research on Addiction (CRAN) at the National Institutes of Health (NIH), a trans-NIH partnership composed of the National Institute on Alcohol Abuse and Alcoholism (NIAAA), the National Institute on Drug Abuse (NIDA), and the National Cancer Institute (NCI). The intent of this FOA is two-fold: (1) characterize how the neurobiological alterations, associated behaviors, and public health consequences arising from polysubstance use differ from, or are similar to, those observed in single drug use; (2) promote integrative polysubstance research along a translational pipeline, consisting of basic science research in animals, human-based laboratory investigations, and epidemiological studies. These dual objectives will be accomplished with an Exploratory/Developmental Phased Award (R61/R33) mechanism, where polysubstance research can occur in any of these translational stages during the R61 phase and these findings will be rapidly back- or forward-integrated into another stage during the R33 phase, permitting accelerated bi-directional research exchange."
207,Fundamental Mechanisms of Affective and Decisional Processes in Cancer Control (R01 Clinical Trial Optional),PAR-20-034,"Private institutions of higher educationSpecial district governmentsIndependent school districtsNative American tribal organizations (other than Federally recognized tribal governments)Small businessesNative American tribal governments (Federally recognized)Public housing authorities/Indian housing authoritiesCity or township governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Public and State controlled institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationFor profit organizations other than small businessesCounty governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationState governments",National Institutes of Health,"The purpose of this Funding Opportunity Announcement (FOA) is to encourage projects to generate fundamental knowledge of affective processes. Basic affective science projects should have key consequences for single (e.g., cancer screening) and multiple (e.g., adherence to oral chemotherapy regimen) event decisions and behaviors across the cancer prevention and control continuum. The FOA is expected to encourage collaboration among cancer control researchers and those from scientific disciplines not traditionally connected to cancer control applications (e.g., affective and cognitive neuroscience, decision science, consumer science) to elucidate perplexing and understudied problems in affective and decision sciences with downstream implications for cancer prevention and control."
208,HIV-associated Non-Communicable Diseases Research at Low- and Middle-Income Country Institutions (R21 Clinical Trial Optional),PAR-20-030,"Public housing authorities/Indian housing authoritiesNative American tribal governments (Federally recognized)Independent school districtsSmall businessesPrivate institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)State governmentsSpecial district governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)For profit organizations other than small businessesCity or township governmentsCounty governmentsPublic and State controlled institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education",National Institutes of Health,"The goal of this -program is to support locally relevant research in critical areas of HIV-associated non-communicable diseases (NCDs) at Low- and Middle-Income Country (LMIC) Institutions, to enhance research capacity and build a network of researchers both within and across LMICs to address this critical burden. This initiative is expected to stimulate new research on the interplay between HIV and development of NCDs in persons living with HIV (PLWH), including exploratory studies to uncover the extent to which HIV infection influences the etiopathogenesis of the NCDs; and to identify and develop appropriate approaches for effective diagnosis, prevention, therapeutic interventions and integrated clinical care for PLWH with the comorbid conditions. Applicants should develop their studies in keeping with the NIH HIV/AIDS Research Priorities ( https://grants.nih.gov/grants/guide/notice-files/NOT-OD-15-137.html ). Research teams should contain an appropriate mix of expertise to accomplish the proposed studies, including partnerships between HIV and NCD researchers who can initiate new ideas and determine feasibility of novel approaches to understand and reduce the long-term suffering from the comorbid disorders. Applicants will also be asked to address the needs of collaborating LMIC institutions to develop capacity for carrying out research in this field. U.S. and LMIC investigators are eligible to apply for collaborative projects to be done at LMIC sites; however, a U.S. investigator must apply together with an LMIC investigator. LMICs are defined by the World Bank classification system according to Gross National Income (GNI) per capita as low-income, lower-middle-income, and upper-middle-income (http://data.worldbank.org/about/country-classifications/country-and-lending-groups"
209,Perception and Cognition Research to Inform Cancer Image Interpretation (R21 Clinical Trial Optional),PAR-19-389,"Private institutions of higher educationPublic housing authorities/Indian housing authoritiesNative American tribal governments (Federally recognized)Special district governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesState governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)City or township governmentsPublic and State controlled institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)Independent school districtsFor profit organizations other than small businessesCounty governments",National Institutes of Health,"The purpose of this Funding Opportunity Announcement (FOA) is to facilitate research on the perceptual and cognitive processes underlying the performance of cancer image observers in radiology and pathology, in order to improve the accuracy of cancer detection and diagnosis."
210,Perception and Cognition Research to Inform Cancer Image Interpretation (R01 Clinical Trial Optional),PAR-19-387,"Public and State controlled institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Independent school districtsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationCity or township governmentsNative American tribal governments (Federally recognized)State governmentsSpecial district governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationCounty governmentsSmall businessesPublic housing authorities/Indian housing authoritiesPrivate institutions of higher educationFor profit organizations other than small businessesNative American tribal organizations (other than Federally recognized tribal governments)",National Institutes of Health,"The purpose of this Funding Opportunity Announcement (FOA) is to facilitate research on the perceptual and cognitive processes underlying the performance of cancer image observers in radiology and pathology, in order to improve the accuracy of cancer detection and diagnosis."
211,Environmental Risks for Psychiatric Disorders: Biological Basis of Pathophysiology (R21 Clinical Trial Not Allowed),PAR-19-385,"Public housing authorities/Indian housing authoritiesSmall businessesOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Native American tribal organizations (other than Federally recognized tribal governments)Public and State controlled institutions of higher educationCounty governmentsSpecial district governmentsPrivate institutions of higher educationFor profit organizations other than small businessesState governmentsIndependent school districtsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal governments (Federally recognized)Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationCity or township governments",National Institutes of Health,"The purpose of this funding opportunity announcement (FOA) is to stimulate research to understand the biological basis by which environmental exposures alter brain and behavioral functioning to increase risk for psychiatric disorders with onset in late-childhood, adolescence or early adulthood.  The R21 grant mechanism is intended to encourage exploratory and developmental research projects that are high-risk and/or use novel approaches with potential for significant impact.   Investigations that further advance our understanding of psychiatric conditions where there is less evidence of an environmental exposure link are of particular interest. A range of approaches are encouraged, from mechanistic experiments using whole organism models or in vitro and in vivo systems to human studies that add new data collection activities and/or make use of extant data or biospecimens.  Investigations that further advance our understanding of the joint contribution of genes and environment in the risk for psychiatric disorders are welcomed.  Applications should address either categorically defined psychiatric diagnoses and/or continuous traits expressed in the general population.  Applicants are encouraged to propose studies that consider co-occurring psychiatric conditions and potential shared etiologies. It is anticipated that knowledge gained from the research supported by this FOA will inform the development of improved intervention, prevention and/or therapeutic strategies. This FOA will use the NIH Exploratory/Developmental Research Grant (R21) award mechanism and runs in parallel with another FOA, PAR-20-NNN, which encourages applications under the R01 mechanism."
212,Environmental Risks for Psychiatric Disorders: Biological Basis of Pathophysiology (R01 Clinical Trial Not Allowed),PAR-19-386,"Native American tribal organizations (other than Federally recognized tribal governments)For profit organizations other than small businessesSmall businessesCounty governmentsPublic housing authorities/Indian housing authoritiesOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)State governmentsCity or township governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationSpecial district governmentsNative American tribal governments (Federally recognized)Independent school districtsPublic and State controlled institutions of higher educationNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationPrivate institutions of higher education",National Institutes of Health,"The purpose of this funding opportunity announcement (FOA) is to stimulate research to understand the biological basis by which environmental exposures alter brain and behavioral functioning to increase risk for psychiatric disorders with onset in late-childhood, adolescence or early adulthood.  A range of approaches are encouraged, from mechanistic experiments using whole organism models or in vitro and in vivo systems to human studies that add new data collection activities and/or make use of extant data or biospecimens.  Investigations that further advance our understanding of the joint contribution of genes and environment in the risk for psychiatric disorders are welcomed.  Applications should address either categorically defined psychiatric diagnoses and/or continuous traits expressed in the general population. Applicants are encouraged to propose studies that consider co-occurring psychiatric conditions and potential shared etiologies. It is anticipated that knowledge gained from the research supported by this FOA will inform the development of improved intervention, prevention and/or therapeutic strategies. This FOA will use the NIH Research Project Grant (R01) award mechanism and runs in parallel with another FOA, PAR-20-NNN, which encourages applications under the R21 mechanism."
213,The Intersection of Sex and Gender Influences on Health and Disease (R01 Clinical Trial Optional),RFA-OD-19-029,"Native American tribal organizations (other than Federally recognized tribal governments)Private institutions of higher educationSmall businessesCity or township governmentsPublic and State controlled institutions of higher educationNative American tribal governments (Federally recognized)Public housing authorities/Indian housing authoritiesCounty governmentsSpecial district governmentsIndependent school districtsFor profit organizations other than small businessesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)State governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education",National Institutes of Health,"The purpose of this Funding Opportunity Announcement (FOA) is to invite R01 applications on at the influence and intersection of sex and gender in health and disease including:  (1) research proposals that examine sex and gender factors and their intersection in understanding health and disease; and (2) research that addresses one of the five research priorities in the new 2019-2023 Trans-NIH Strategic Plan for Women's Health Research ""Advancing Science for the Health of Women."" The awards under this FOA will be administered through by NIH ICs using funds that have been made available through the Office of Research on Womens Health (ORWH) and the scientific partnering Institutes and Centers across NIH."
214,"Science of Science: Discovery, Communication, and Impact",PD-19-125Y,"Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""",National Science Foundation,"The Science of Science:Discovery, Communication, and Impact (SoS:DCI) program is designed to increase the public value of scientific activity. The program pursues this goal by supporting basic research in three fundamental areas:



How to increase the rate of socially beneficial discovery;


How to improve science communication outcomes; and


How to expand the societal benefits of scientific activity.



The SoS:DCI program, which builds upon the formerScience of Science & Innovation Policy (SciSIP)program, funds research that builds theoretical and empirical understandings of these three areas. With this goal in mind, proposals should:


Develop data, models, indicators, and associated analytical tools that constitute and enable transformative advances rather than incremental change.
Identify ethical challenges and mitigate potential risks to people and institutions.

Provide credible metrics and rigorous assessments of their proposed project’s impact.


Include robust data management plans with the goal to increase the usability, validity, and reliability of scientific materials. See PAPPG Chapter II.C.2.j and Data Management for NSF SBE Directorate Proposals and Awards for additional information (https://www.nsf.gov/sbe/DMP/SBE_DataMgmtPlanPolicy_RevisedApril2018.pdf).



The SoS:DCI program places a high priority on broadening participation. It encourages leadership from junior faculty, women, members of historically underrepresented groups, and proposals from Minority Serving Institutions (MSIs), Research Undergraduate Institutions (RUIs), and EPSCoR states.


Of particular interest are proposals that have the highest potential to strengthen America’s global leadership in science and increase national competitiveness across a broad range of domains. These include proposals that analyze strategies for strengthening and diversifying the scientific workforce, as well as ways to more effectively cultivate high-impact discovery across sectors.The program strongly encourages convergent research and collaboration.


RAPIDs and EAGERsSoS:DCI supports small grants that are time-critical and small grants that are high-risk and of a potentially transformative nature. See Chapter II.E.1 and Chapter II.E.2of the NSFProposal and Award Policies & Procedures Guide (PAPPG) (NSF 19-1)(https://www.nsf.gov/publications/pub_summ.jsp?ods_key=papp) for guidance on submitting Grants for Rapid Response Research (RAPID) and EArly-concept Grants for Exploratory Research (EAGER) proposals.


Research Advanced by Interdisciplinary Science and Engineering (RAISE)SoS:DCI supports interdisciplinary projects whose scientific advances lie in great part outside the scope of a single program or discipline, such that substantial funding support from more than one program or discipline is necessary. See Chapter II.E.3of the NSFProposal and Award Policies & Procedures Guide (PAPPG) (NSF 19-1)(https://www.nsf.gov/publications/pub_summ.jsp?ods_key=papp) for guidance on submitting a RAISE proposal.


Grant Opportunities for Academic Liaison with Industry (GOALI)SoS:DCI supports collaboration between academic research institutions and industry. SeeChapter II.E.4of the NSFProposal and Award Policies & Procedures Guide (PAPPG) (NSF 19-1)(https://www.nsf.gov/publications/pub_summ.jsp?ods_key=papp) for guidance on submitting a GOALI proposal.


Faculty Early Career Development (CAREER)SoS:DCI supports CAREER awards. The Faculty Early Career Development (CAREER) Program is a foundation-wide activity that offers the National Science Foundation's most prestigious awards in support of early-career faculty who have the potential to serve as academic role models in research and education and to lead advances in the mission of their department or organization. Activities pursued by early-career faculty should build a firm foundation for a lifetime of leadership in integrating education and research. NSF encourages submission of CAREER proposals from early-career faculty at all CAREER-eligible organizations and especially encourages women, members of underrepresented minority groups and persons with disabilities to apply. Interested researchers can find additional information on the NSF CAREER website.


ConferencesSoS:DCIfunds conferences and interdisciplinary research activities that strengthenunderstanding and dissemination of the research topic among the social and behavioral sciences, policy community and the larger scientific community. See Chapter II.E.7 of the NSF Proposal and Award Policies & Procedures Guide (PAPPG) (NSF 19-1) (https://www.nsf.gov/publications/pub_summ.jsp?ods_key=papp) for guidance on submitting Conference proposals.


Doctoral Dissertation Research Improvement Grants (DDRIGs)The Doctoral Dissertation Research Improvement Grants funding opportunity is designed to improve the quality of dissertation research. DDRIG awards provide funds for items not normally available through the student's university such as enabling doctoral students to undertake significant data-gathering projects and to conduct field research in settings away from their campus. For program specific guidelines and submission instructions on the Doctoral Dissertation Improvement Grants (DDRIGs) in SoS:DCI, please review the SoS:DCI DDRIG solicitation which may be accessed via theSoS:DCI DDRIG web site."
